shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
A1,-34.611011947600005,-58.4182984382,83
A1,-34.6110036694,-58.418166339399995,84
A1,-34.6109815941,-58.4178699553,85
A1,-34.6109600706,-58.417590335,86
A1,-34.6109528961,-58.4174850583,87
A1,-34.610937443400005,-58.4173133969,88
A1,-34.6109241982,-58.4171135724,89
A1,-34.6109148162,-58.4169667214,90
A1,-34.610903778499996,-58.4164685011,91
A1,-34.6108817032,-58.4158220887,92
A1,-34.6107845716,-58.414966463999995,93
A1,-34.610720553,-58.4144675732,94
A1,-34.610638874,-58.4130969644,95
A1,-34.6103496857,-58.4115439653,96
A1,-34.610177496700004,-58.4102806449,97
A1,-34.6098927218,-58.409229219,98
A1,-34.6095770401,-58.408408463,99
A1,-34.6094412744,-58.407948464200004,100
A1,-34.6094197506,-58.407683596000005,101
A1,-34.6094909448,-58.40746700760001,102
A1,-34.6097183244,-58.4066194296,103
A1,-34.6100340056,-58.4055411816,104
A1,-34.6099346655,-58.4029448032,105
A1,-34.609775721,-58.4002196789,106
A1,-34.609590285500005,-58.3975160122,107
A1,-34.609378358600004,-58.394844532,108
A1,-34.6092635646,-58.3929777145,109
A1,-34.609184091799996,-58.390928506899996,110
A1,-34.6090869582,-58.388890028,111
A1,-34.6094445858,-58.387465775,112
A1,-34.6094313404,-58.386400938,113
A1,-34.6093960192,-58.3857223392,114
A1,-34.6093253768,-58.3851141483,115
A1,-34.609184091799996,-58.3835148811,116
A1,-34.609007485300005,-58.3807253838,117
A1,-34.608848539,-58.378375768699996,118
A1,-34.6086807621,-58.3760154247,119
A1,-34.6085041545,-58.3735477924,120
A1,-34.6084776633,-58.37313205,121
A1,-34.6084798709,-58.372567445,122
A1,-34.6085394761,-58.3720564842,123
A1,-34.6088132176,-58.370865583400004,124
B0,-34.6029673149,-58.369921445799996,1
B0,-34.6032410748,-58.3738052845,2
B0,-34.603364708,-58.3760476112,3
B0,-34.6035501575,-58.3791160583,4
B0,-34.603656128400004,-58.380489349399994,5
B0,-34.603683725,-58.3809144795,6
B0,-34.6036892443,-58.3813610673,7
B0,-34.6037223602,-58.381999433000004,8
B0,-34.6041683194,-58.3888685703,9
B0,-34.604459737,-58.3919906616,10
B0,-34.6044773987,-58.394007682799995,11
B0,-34.604565706799995,-58.397462368,12
B0,-34.6047511536,-58.4036207199,13
B0,-34.604689338,-58.4040927887,14
B0,-34.6045833684,-58.405412435500004,15
B0,-34.6044950603,-58.406496048,16
B0,-34.6041241651,-58.408920764899996,17
B0,-34.6040093639,-58.4103691578,18
B0,-34.604194811999996,-58.413276672399995,19
B0,-34.6038504081,-58.4156262875,20
B0,-34.6035236647,-58.4173536301,21
B0,-34.602870174,-58.424091339099995,22
B0,-34.6020400568,-58.4322237968,23
B0,-34.5998322579,-58.4388756752,24
B0,-34.5976244003,-58.4412145615,25
B0,-34.5950455484,-58.4439826012,26
B0,-34.5916893882,-58.4476733208,27
B0,-34.590185696199995,-58.4493201971,28
B0,-34.589208613000004,-58.4505084157,29
B0,-34.5888586267,-58.4510850906,30
B0,-34.5884015447,-58.4519514441,31
B0,-34.588032785799996,-58.452866077399996,32
B0,-34.5871627733,-58.4552961588,33
B0,-34.5870302833,-58.455768227600004,34
B0,-34.5864274511,-58.457621634,35
B0,-34.5857362865,-58.459625244099996,36
B0,-34.5852239819,-58.4620285034,37
B0,-34.585034075,-58.463444709799994,38
B0,-34.5846459792,-58.4647177532,39
B0,-34.5839796425,-58.4666774422,40
B0,-34.5831813565,-58.469196706999995,41
B0,-34.5827402532,-58.470656164,42
B0,-34.5822436642,-58.472029622600004,43
B0,-34.5818309879,-58.4733816236,44
B0,-34.5816686772,-58.4739509225,45
B0,-34.5799682604,-58.4754663706,46
B0,-34.5791047887,-58.4789747,47
B0,-34.5784533143,-58.480074405699995,48
B0,-34.577444071,-58.4814745188,49
B0,-34.5766170124,-58.4827807546,50
B0,-34.5755646816,-58.4843015671,51
B0,-34.5746945386,-58.4858036041,52
B0,-34.5739524806,-58.4868013859,53
B1,-34.5739524806,-58.4868013859,1
B1,-34.5746945386,-58.4858036041,2
B1,-34.5755646816,-58.4843015671,3
B1,-34.5766170124,-58.4827807546,4
B1,-34.577444071,-58.4814745188,5
B1,-34.5784533143,-58.480074405699995,6
B1,-34.5791047887,-58.4789747,7
B1,-34.5799682604,-58.4754663706,8
B1,-34.5816686772,-58.4739509225,9
B1,-34.5818309879,-58.4733816236,10
B1,-34.5822436642,-58.472029622600004,11
B1,-34.5827402532,-58.470656164,12
B1,-34.5831813565,-58.469196706999995,13
B1,-34.5839796425,-58.4666774422,14
B1,-34.5846459792,-58.4647177532,15
B1,-34.585034075,-58.463444709799994,16
B1,-34.5852239819,-58.4620285034,17
B1,-34.5857362865,-58.459625244099996,18
B1,-34.5864274511,-58.457621634,19
B1,-34.5870302833,-58.455768227600004,20
B1,-34.5871627733,-58.4552961588,21
B1,-34.588032785799996,-58.452866077399996,22
B1,-34.5884015447,-58.4519514441,23
B1,-34.5888586267,-58.4510850906,24
B1,-34.589208613000004,-58.4505084157,25
B1,-34.590185696199995,-58.4493201971,26
B1,-34.5916893882,-58.4476733208,27
B1,-34.5950455484,-58.4439826012,28
B1,-34.5976244003,-58.4412145615,29
B1,-34.5998322579,-58.4388756752,30
B1,-34.6020400568,-58.4322237968,31
B1,-34.602870174,-58.424091339099995,32
B1,-34.6035236647,-58.4173536301,33
B1,-34.6038504081,-58.4156262875,34
B1,-34.604194811999996,-58.413276672399995,35
B1,-34.6040093639,-58.4103691578,36
B1,-34.6041241651,-58.408920764899996,37
B1,-34.6044950603,-58.406496048,38
B1,-34.6045833684,-58.405412435500004,39
B1,-34.604689338,-58.4040927887,40
B1,-34.6047511536,-58.4036207199,41
B1,-34.604565706799995,-58.397462368,42
B1,-34.6044773987,-58.394007682799995,43
B1,-34.604459737,-58.3919906616,44
B1,-34.6041683194,-58.3888685703,45
B1,-34.6037223602,-58.381999433000004,46
B1,-34.6036892443,-58.3813610673,47
B1,-34.603683725,-58.3809144795,48
B1,-34.603656128400004,-58.380489349399994,49
B1,-34.6035501575,-58.3791160583,50
B1,-34.603364708,-58.3760476112,51
B1,-34.6032410748,-58.3738052845,52
B1,-34.6029673149,-58.369921445799996,53
C0,-34.5915039123,-58.3744704723,1
C0,-34.5932879972,-58.3759510517,2
C0,-34.5944626461,-58.376865685,3
C0,-34.5948799515,-58.377274721899994,4
C0,-34.5952530959,-58.3776301146,5
C0,-34.5955092177,-58.3778634667,6
C0,-34.595884567199995,-58.3781772852,7
C0,-34.5963703111,-58.378429412799996,8
C0,-34.5976729738,-58.37838113310001,9
C0,-34.5989402905,-58.378273844700004,10
C0,-34.6002120035,-58.3782309294,11
C0,-34.6016073329,-58.3781558275,12
C0,-34.6027377091,-58.3781075478,13
C0,-34.6032154098,-58.3781011775,14
C0,-34.6035959679,-58.3780626208,15
C0,-34.6039014617,-58.3780830726,16
C0,-34.6042069544,-58.3781088889,17
C0,-34.6044956122,-58.3781819791,18
C0,-34.6046024098,-58.378242664,19
C0,-34.604689338,-58.37835699319999,20
C0,-34.604736527600004,-58.3784579113,21
C0,-34.6047682633,-58.378601744799994,22
C0,-34.6047875806,-58.378932327,23
C0,-34.604817384499995,-58.3794003725,24
C0,-34.604839875399996,-58.3800081443,25
C0,-34.6050124894,-58.3803262375,26
C0,-34.6051766862,-58.38051717729999,27
C0,-34.605469756,-58.380668386800004,28
C0,-34.6057953879,-58.380799144499996,29
C0,-34.6061552373,-58.3808460832,30
C0,-34.6083407921,-58.3807146549,31
C0,-34.6118419751,-58.380553722399995,32
C0,-34.6145969006,-58.3804035187,33
C0,-34.6167866479,-58.3802747726,34
C0,-34.6194001417,-58.3801674843,35
C0,-34.6220841847,-58.3799958229,36
C0,-34.6226028837,-58.37996363640001,37
C0,-34.6229361737,-58.3799260855,38
C0,-34.6234460385,-58.3798677474,39
C0,-34.6238157438,-58.38007997720001,40
C0,-34.6241368894,-58.380404859799995,41
C0,-34.624445894299996,-58.380690515,42
C0,-34.6248784992,-58.3810096979,43
C0,-34.625505330900005,-58.381374478299996,44
C0,-34.625774602199996,-58.3814549446,45
C0,-34.626116708000005,-58.3815059066,46
C0,-34.626632071100005,-58.38148579,47
C0,-34.6270150047,-58.3814817667,48
C0,-34.6276020927,-58.3814442158,49
C1,-34.6276020927,-58.3814442158,1
C1,-34.6270150047,-58.3814817667,2
C1,-34.626632071100005,-58.38148579,3
C1,-34.626116708000005,-58.3815059066,4
C1,-34.625774602199996,-58.3814549446,5
C1,-34.625505330900005,-58.381374478299996,6
C1,-34.6248784992,-58.3810096979,7
C1,-34.624445894299996,-58.380690515,8
C1,-34.6241368894,-58.380404859799995,9
C1,-34.6238157438,-58.38007997720001,10
C1,-34.6234460385,-58.3798677474,11
C1,-34.6229361737,-58.3799260855,12
C1,-34.6226028837,-58.37996363640001,13
C1,-34.6220841847,-58.3799958229,14
C1,-34.6194001417,-58.3801674843,15
C1,-34.6167866479,-58.3802747726,16
C1,-34.6145969006,-58.3804035187,17
C1,-34.6118419751,-58.380553722399995,18
C1,-34.6083407921,-58.3807146549,19
C1,-34.6061552373,-58.3808460832,20
C1,-34.6057953879,-58.380799144499996,21
C1,-34.605469756,-58.380668386800004,22
C1,-34.6051766862,-58.38051717729999,23
C1,-34.6050124894,-58.3803262375,24
C1,-34.604839875399996,-58.3800081443,25
C1,-34.604817384499995,-58.3794003725,26
C1,-34.6047875806,-58.378932327,27
C1,-34.6047682633,-58.378601744799994,28
C1,-34.604736527600004,-58.3784579113,29
C1,-34.604689338,-58.37835699319999,30
C1,-34.6046024098,-58.378242664,31
C1,-34.6044956122,-58.3781819791,32
C1,-34.6042069544,-58.3781088889,33
C1,-34.6039014617,-58.3780830726,34
C1,-34.6035959679,-58.3780626208,35
C1,-34.6032154098,-58.3781011775,36
C1,-34.6027377091,-58.3781075478,37
C1,-34.6016073329,-58.3781558275,38
C1,-34.6002120035,-58.3782309294,39
C1,-34.5989402905,-58.378273844700004,40
C1,-34.5976729738,-58.37838113310001,41
C1,-34.5963703111,-58.378429412799996,42
C1,-34.595884567199995,-58.3781772852,43
C1,-34.5955092177,-58.3778634667,44
C1,-34.5952530959,-58.3776301146,45
C1,-34.5948799515,-58.377274721899994,46
C1,-34.5944626461,-58.376865685,47
C1,-34.5932879972,-58.3759510517,48
C1,-34.5915039123,-58.3744704723,49
D0,-34.607850703000004,-58.3737784624,1
D0,-34.6076122802,-58.3742800355,2
D0,-34.607073618899996,-58.3753623068,3
D0,-34.6064731398,-58.376455307,4
D0,-34.6058196723,-58.37778568270001,5
D0,-34.6043935058,-58.380309641400004,6
D0,-34.6039839752,-58.3809587359,7
D0,-34.6034176936,-58.3823347092,8
D0,-34.6026052439,-58.383772373199996,9
D0,-34.6021769384,-58.3840620518,10
D0,-34.6016249951,-58.3845663071,11
D0,-34.6010035026,-58.3850973845,12
D0,-34.6006955143,-58.385531902299995,13
D0,-34.6004140186,-58.3859717846,14
D0,-34.6001546002,-58.3863902092,15
D0,-34.5998322579,-58.3869481087,16
D0,-34.5996468002,-58.3874684572,17
D0,-34.5995054987,-58.388074636499994,18
D0,-34.5994348479,-58.38901877399999,19
D0,-34.5994790047,-58.3899307251,20
D0,-34.599690956799996,-58.3940720558,21
D0,-34.5997318017,-58.3971820772,22
D0,-34.5997593996,-58.39873641729999,23
D0,-34.599620858099996,-58.399345949300006,24
D0,-34.5993763401,-58.3999983966,25
D0,-34.599120782199996,-58.40055964890001,26
D0,-34.5987901565,-58.401013612700005,27
D0,-34.5980748081,-58.401517868,28
D0,-34.5973241272,-58.4020113945,29
D0,-34.596591102800005,-58.40244323020001,30
D0,-34.5959287259,-58.402810692799996,31
D0,-34.5952221846,-58.403127193500005,32
D0,-34.5950234688,-58.4032210708,33
D0,-34.5947805933,-58.40332,34
D0,-34.5945134294,-58.40343028310001,35
D0,-34.5942595125,-58.403588533400004,36
D0,-34.5937207645,-58.404393196099996,37
D0,-34.593190845100004,-58.405251503,38
D0,-34.592696250500005,-58.4059810638,39
D0,-34.5890396924,-58.410100936899994,40
D0,-34.5888100481,-58.410401344300006,41
D0,-34.5873438427,-58.4125900269,42
D0,-34.585506633099996,-58.415336608900006,43
D0,-34.5839167074,-58.417739868199995,44
D0,-34.5821147549,-58.42033624649999,45
D0,-34.581469929,-58.4212911129,46
D0,-34.580886931500004,-58.4221386909,47
D0,-34.580109595100005,-58.423286676400004,48
D0,-34.579345501599995,-58.424322009099996,49
D0,-34.5789700774,-58.4247632325,50
D0,-34.578775739499996,-58.4250167012,51
D0,-34.5785372333,-58.4255129099,52
D0,-34.5782236407,-58.426381945600006,53
D0,-34.577715706599996,-58.4279966354,54
D0,-34.5772386874,-58.429434299499995,55
D0,-34.5766026575,-58.4317088127,56
D0,-34.5758782842,-58.4331679344,57
D0,-34.5751472791,-58.434881866000005,58
D0,-34.5736874582,-58.4378671646,59
D0,-34.5711078633,-58.4425234795,60
D0,-34.5699417188,-58.444948196400006,61
D0,-34.5661074617,-58.4523296356,62
D0,-34.565612705999996,-58.45316648479999,63
D0,-34.564923577100004,-58.4541964531,64
D0,-34.562025639,-58.4566855431,65
D0,-34.5582440313,-58.459968566899995,66
D0,-34.5555579252,-58.4625005722,67
D1,-34.5555579252,-58.4625005722,1
D1,-34.5582440313,-58.459968566899995,2
D1,-34.562025639,-58.4566855431,3
D1,-34.564923577100004,-58.4541964531,4
D1,-34.565612705999996,-58.45316648479999,5
D1,-34.5661074617,-58.4523296356,6
D1,-34.5699417188,-58.444948196400006,7
D1,-34.5711078633,-58.4425234795,8
D1,-34.5736874582,-58.4378671646,9
D1,-34.5751472791,-58.434881866000005,10
D1,-34.5758782842,-58.4331679344,11
D1,-34.5766026575,-58.4317088127,12
D1,-34.5772386874,-58.429434299499995,13
D1,-34.577715706599996,-58.4279966354,14
D1,-34.5782236407,-58.426381945600006,15
D1,-34.5785372333,-58.4255129099,16
D1,-34.578775739499996,-58.4250167012,17
D1,-34.5789700774,-58.4247632325,18
D1,-34.579345501599995,-58.424322009099996,19
D1,-34.580109595100005,-58.423286676400004,20
D1,-34.580886931500004,-58.4221386909,21
D1,-34.581469929,-58.4212911129,22
D1,-34.5821147549,-58.42033624649999,23
D1,-34.5839167074,-58.417739868199995,24
D1,-34.585506633099996,-58.415336608900006,25
D1,-34.5873438427,-58.4125900269,26
D1,-34.5888100481,-58.410401344300006,27
D1,-34.5890396924,-58.410100936899994,28
D1,-34.592696250500005,-58.4059810638,29
D1,-34.593190845100004,-58.405251503,30
D1,-34.5937207645,-58.404393196099996,31
D1,-34.5942595125,-58.403588533400004,32
D1,-34.5945134294,-58.40343028310001,33
D1,-34.5947805933,-58.40332,34
D1,-34.5950234688,-58.4032210708,35
D1,-34.5952221846,-58.403127193500005,36
D1,-34.5959287259,-58.402810692799996,37
D1,-34.596591102800005,-58.40244323020001,38
D1,-34.5973241272,-58.4020113945,39
D1,-34.5980748081,-58.401517868,40
D1,-34.5987901565,-58.401013612700005,41
D1,-34.599120782199996,-58.40055964890001,42
D1,-34.5993763401,-58.3999983966,43
D1,-34.599620858099996,-58.399345949300006,44
D1,-34.5997593996,-58.39873641729999,45
D1,-34.5997318017,-58.3971820772,46
D1,-34.599690956799996,-58.3940720558,47
D1,-34.5994790047,-58.3899307251,48
D1,-34.5994348479,-58.38901877399999,49
D1,-34.5995054987,-58.388074636499994,50
D1,-34.5996468002,-58.3874684572,51
D1,-34.5998322579,-58.3869481087,52
D1,-34.6001546002,-58.3863902092,53
D1,-34.6004140186,-58.3859717846,54
D1,-34.6006955143,-58.385531902299995,55
D1,-34.6010035026,-58.3850973845,56
D1,-34.6016249951,-58.3845663071,57
D1,-34.6021769384,-58.3840620518,58
D1,-34.6026052439,-58.383772373199996,59
D1,-34.6034176936,-58.3823347092,60
D1,-34.6039839752,-58.3809587359,61
D1,-34.6043935058,-58.380309641400004,62
D1,-34.6058196723,-58.37778568270001,63
D1,-34.6064731398,-58.376455307,64
D1,-34.607073618899996,-58.3753623068,65
D1,-34.6076122802,-58.3742800355,66
D1,-34.607850703000004,-58.3737784624,67
E0,-34.6431164831,-58.4616476297,1
E0,-34.6426354261,-58.4613794088,2
E0,-34.6420307909,-58.460899293400004,3
E0,-34.6412319595,-58.4599632025,4
E0,-34.6398990856,-58.458219766599996,5
E0,-34.6392216067,-58.457415103900004,6
E0,-34.638216412,-58.4563046694,7
E0,-34.6375990553,-58.4554812312,8
E0,-34.637034382399996,-58.4545974433,9
E0,-34.6365754965,-58.453672751800006,10
E0,-34.6362578473,-58.4524208307,11
E0,-34.6361916415,-58.45189914109999,12
E0,-34.6361960552,-58.451377451400006,13
E0,-34.6362490199,-58.450162410699996,14
E0,-34.636282122800004,-58.449459671999996,15
E0,-34.6362258478,-58.44919480380001,16
E0,-34.6361298494,-58.448999673100005,17
E0,-34.635993023699996,-58.448746204399995,18
E0,-34.635603510900005,-58.4480749816,19
E0,-34.634987238200004,-58.44704467800001,20
E0,-34.6345202031,-58.4461915679,21
E0,-34.6336206083,-58.444866389,22
E0,-34.6328779731,-58.4438357502,23
E0,-34.6324227885,-58.4432024136,24
E0,-34.631976429299996,-58.4427192807,25
E0,-34.631036253299996,-58.4421801567,26
E0,-34.629233116,-58.439753428100005,27
E0,-34.6288744702,-58.439264260200005,28
E0,-34.6287746009,-58.43886410819999,29
E0,-34.6286805249,-58.4382885229,30
E0,-34.6284010554,-58.436532765600006,31
E0,-34.628172623448,-58.434806093599995,32
E0,-34.6277830739,-58.4323257208,33
E0,-34.6270105905,-58.426730632799995,34
E0,-34.6258364021,-58.418828845,35
E0,-34.625461188,-58.4160661697,36
E0,-34.6249932715,-58.41210186479999,37
E0,-34.6247891091,-58.410308808100005,38
E0,-34.6246246751,-58.4089502692,39
E0,-34.6244370656,-58.4071236849,40
E0,-34.6237793251,-58.40217769149999,41
E0,-34.6234968041,-58.3998844028,42
E0,-34.6232054533,-58.397821783999994,43
E0,-34.6230134261,-58.395810127299995,44
E0,-34.6228920294,-58.3937501907,45
E0,-34.6227463531,-58.391497135200005,46
E0,-34.6223755395,-58.385843038599994,47
E0,-34.6223170479,-58.3843721822,48
E0,-34.6222538659,-58.383976304899996,49
E0,-34.6221288813,-58.383510690200005,50
E0,-34.6219957573,-58.3831920521,51
E0,-34.6218538041,-58.382894871800005,52
E0,-34.6216323898,-58.3825762337,53
E0,-34.6212961975,-58.3822575957,54
E0,-34.6208873021,-58.381962049799995,55
E0,-34.62047399,-58.3816289529,56
E0,-34.620047432199996,-58.3813870512,57
E0,-34.619612043000004,-58.3811505139,58
E0,-34.6190149655,-58.3809081092,59
E0,-34.6185723971,-58.3808749169,60
E0,-34.6176607648,-58.3809104562,61
E0,-34.6165112771,-58.380912467799995,62
E0,-34.6162007251,-58.380835186700004,63
E0,-34.6158725127,-58.3806935325,64
